Country Name,Country Code,Indicator Name,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_60s,_70s,_80s,_90s,_2000s,_2010_14
Aruba,ABW,"Electricity production from renewable sources, excluding hydroelectric (kWh)",,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Electricity production from renewable sources, excluding hydroelectric (kWh)",1301000000,1390000000,1220000000,1624000000,1902000000,1866000000,1972000000,1972000000,2188000000,2463000000,2692000000,2762000000,3058000000,3669000000,7687000000,10926000000,,140555555.6,353600000,774300000,1789800000,3973600000
Afghanistan,AFG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Electricity production from renewable sources, excluding hydroelectric (kWh)",60000000,70000000,78000000,66000000,162000000,177000000,827000000,254000000,254000000,213000000,222000000,219000000,196000000,222000000,233000000,280000000,,38888888.89,41900000,53600000,216100000,218400000
Angola,AGO,"Electricity production from renewable sources, excluding hydroelectric (kWh)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Albania,ALB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Andorra,AND,"Electricity production from renewable sources, excluding hydroelectric (kWh)",,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",227000000,459000000,436000000,613000000,775000000,808000000,846000000,1166000000,1262000000,1631000000,2515000000,2561000000,2436000000,3534000000,4457000000,5117000000,,0,0,4000000,822300000,3100600000
United Arab Emirates,ARE,"Electricity production from renewable sources, excluding hydroelectric (kWh)",0,0,0,0,0,0,0,0,0,0,0,0,0,100000000,301000000,296000000,,0,0,0,0,80200000
Argentina,ARG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",708000000,672000000,941000000,1114000000,1247000000,1362000000,1728000000,1688000000,1618000000,1402000000,2220000000,2155000000,2752000000,2942000000,2719000000,2752000000,,64444444.44,110500000,254600000,1248000000,2557600000
Armenia,ARM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",0,0,0,0,0,0,0,3000000,2000000,4000000,7000000,3000000,4000000,4000000,4000000,4000000,,,,0,900000,4400000
American Samoa,ASM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Electricity production from renewable sources, excluding hydroelectric (kWh)",1230000000,1599000000,1997000000,2345000000,2573000000,4794000000,5716000000,6674000000,7817000000,6800000000,8256000000,9718000000,12573000000,14939000000,18622000000,21044000000,292400000,379600000,510400000,851200000,4154500000,12821600000
Austria,AUT,"Electricity production from renewable sources, excluding hydroelectric (kWh)",1599000000,1777000000,1668000000,2098000000,3010000000,3936000000,5151000000,6236000000,6344000000,6281000000,6617000000,6627000000,7404000000,8322000000,8934000000,10187000000,0,241700000,792800000,1481100000,3810000000,7580800000
