Country Name,Country Code,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_90s,_2000s,_2010_14,2015-19
Aruba,ABW,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.53037831,100,100,100
Africa Eastern and Southern,AFE,8.469417741,,,9.69717148,10.91916313,10.38569599,12.42371037,12.43141247,12.88896695,15.34100195,14.5771748,16.22279425,19.40259153,18.66350164,17.63398641,16.46468079,24.53143609,25.34511115,27.44990767,29.64176045,30.40493494,,11.56956751,17.30000972,24.68657923
Afghanistan,AFG,,,,,3.240603924,11.11385155,15.7653656,22.06067848,27.95425034,34.74578476,30.21879959,29.57287979,60.84915543,60.56613541,86.50051117,64.57335663,97.0993576,97.09197235,95.58617401,97.07563019,97.06671143,,19.14675577,53.54149628,90.28529816
Africa Western and Central,AFW,16.52994167,16.08535736,15.7748366,21.44452359,16.7431092,17.6032695,17.857298,17.73941421,19.51794746,18.77206754,20.53376506,22.33825091,19.82207357,23.29407779,22.54982493,22.78059197,27.38021995,,,,25.46679511,13.93892872,17.80677651,21.70759845,25.08040596
Angola,AGO,3.536051273,9.47707653,2.921275139,2.461781979,1.885920763,1.188117266,0.846492827,,6.609388351,,,,,,,3.815066576,,,7.333445072,,,,3.615763016,,5.574255824
Albania,ALB,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Andorra,AND,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Arab World,ARB,68.17380833,70.4674396,70.02899565,71.8286435,68.20496248,69.62666918,73.4525088,69.83534637,69.62313621,70.62856688,75.41409754,75.55981558,75.37702209,79.58262154,77.66615747,78.95159239,79.79166538,82.37306556,82.97075371,83.74050002,81.66089867,58.99316191,70.1870077,76.71994284,81.56551541
United Arab Emirates,ARE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Argentina,ARG,90.10272217,86.0806427,91.36688232,91.89742279,92.30157471,92.5335083,92.56249237,92.43852997,92.23491669,92.03239441,96.12537384,95.85079956,94.68993378,94.68718719,100,97.09149933,98.8367691,100,99.87181091,100,100,81.6117819,91.35510864,96.27065887,99.16001587
Armenia,ARM,98.53397369,100,95.6984787,99.07201385,99.09254456,99.62270355,99.02339935,98.94639587,98.86361694,98.79253387,99.973526,99.55459595,99.35077667,99.43714905,99.79554749,100,99.80000305,99.52897644,99.90000153,100,100,,98.76456604,99.62231903,99.8457962
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,96.59548187,96.75639343,100,97.07985687,97.23549652,100,100,100,100,97.94481659,98.10731506,92.66983032,100,100,100,100,100,100,100,100,100,94.7473531,98.56120453,98.15542908,100
Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,AZE,98.06608582,97.61593628,100,98.24875641,98.54092407,98.81291199,99.16723633,99.30285645,99.54162598,99.80123901,99.91911316,99.90000153,100,100,100,100,100,100,100,100,100,,98.90975723,99.96382294,100
Burundi,BDI,,,,,,,,,0.882571578,,,,,0.998028159,0.980122626,1.737854719,2.384181738,1.658408761,3.310829401,3.451540947,3.484119415,,0.882571578,0.989075392,2.508563113
Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Benin,BEN,5.407822132,4.449229717,6.896841049,7.516693115,8.116897583,8.697264671,7.915503502,9.800449371,10.33693027,10.87603188,10.57369995,13.6236372,14.55078602,13.43097687,16.22601128,11.06600285,15.29436016,17.19218445,16.74735069,17.4756794,18.19651031,3.522980079,8.001366329,13.68102226,15.55511551
Burkina Faso,BFA,2.28384614,2.256229877,2.189110518,1.152560472,1.934472084,1.744947553,1.511310816,1.336691976,1.218693733,2.550698757,1.529839158,1.924001455,1.531152487,1.082254171,4.749875546,,,,,,,1.875594267,1.817856193,2.163424563,
Bangladesh,BGD,16.81052208,21.51697922,24.42725945,27.35251808,27.87629128,30.17185783,40.17095566,32.49226379,42.30385971,45.39578247,39.9978981,45.70708847,54.64748001,48.58776474,48.12120056,65.22212982,66.14364624,81.57102966,89.08300781,88.85359955,95.21196747,7.147454607,30.85182896,47.41228638,78.17468262
Bulgaria,BGR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bahrain,BHR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.90893914,100,100,100
"Bahamas, The",BHS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bosnia and Herzegovina,BIH,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belarus,BLR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,BLZ,65.6969986,67.38751984,68.85503387,70.30734253,71.7432785,73.16130066,85.12733459,75.9522934,77.34288025,78.7431488,84.06894684,87.8571701,85.86384583,86.06543732,86.25106812,87.55831909,89.38884735,91.02072144,86.51377106,87.83975983,96.07446289,56.65647753,73.4317131,86.02129364,88.46428375
Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bolivia,BOL,28.16743088,28.0133419,22.52780151,34.95559311,40.49040222,29.54500389,41.57055664,46.53506088,57.00263596,63.27758026,66.26538086,66.64757538,72.16989136,68.51673889,70.29286194,74.33849335,74.86945343,74.8204422,77.58667755,84.92347717,91.81351471,23.53120646,39.20854073,68.77848969,77.30770874
Brazil,BRA,74.39940643,81.87576294,84.11795044,85.3215332,83.45054626,84.83053589,87.16542053,89.7762146,91.85225677,93.61740112,92.13961029,96.1905899,97.22181702,97.50203705,97.91007996,98.23240662,98.46713257,99.16959381,98.41090393,98.48208618,100,68.49557073,85.64070282,96.19282684,98.55242462
Barbados,BRB,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.996237,100,100,100
Brunei Darussalam,BRN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bhutan,BTN,8.796516418,19.5000267,23.71965599,18.45110893,32.43301392,43.22629166,41.99067688,58.85198212,52.30018997,57.63077164,59.39778137,72.0372467,86.8699646,80.34894562,86.59482574,92.91911316,99.4221344,96.76015472,99.96322632,100,100,,35.69002342,77.04975281,97.81292572
Botswana,BWA,11.97331524,10.44247437,6.411587715,16.46249962,17.96475029,19.42159843,20.82823372,21.30759621,21.63465118,16.21658516,25.28346443,25.1560154,25.38517952,25.99620819,26.81712914,26.45165634,28.63506126,30.96487236,28.75203323,27.12532806,26.38289833,6.768170655,16.26632919,25.72759933,28.38579025
Central African Republic,CAF,,0.834010661,0.969780445,1.091643095,1.199050069,1.285908103,,1.402481914,4.737354279,1.484089375,,,,0.625170887,0.984929383,1.436950803,1.961496115,2.38064003,2.528975964,1.531567454,2.252866745,,1.625539742,0.805050135,1.967926073
Canada,CAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Central Europe and the Baltics,CEB,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Switzerland,CHE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Channel Islands,CHI,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Chile,CHL,86.54576874,81.98841858,83.13850403,92.76950836,85.69866943,86.81345367,96.41898346,88.67390442,89.51880646,97.7480011,98.25826263,97.76864624,100,100,100,100,100,100,100,100,100,74.1372742,88.93140182,99.20538177,100
China,CHN,95.35548401,95.78682709,96.1137085,96.44287872,96.77371216,97.10500336,97.4377594,97.77693176,98.13040924,98.52694702,99.40914917,99.69618225,99.92107391,99.99243164,100,100,100,100,100,100,100,,96.94496613,99.8037674,100
Cote d'Ivoire,CIV,23.74615479,24.58332253,26.81161118,26.22465897,27.02555847,36.18636703,34.08423233,29.34969521,35.56399536,30.89202881,31.69058037,26.28063202,25.77847672,34.3230629,34.28089142,39.22568893,36.73153687,38.27824402,40.26659012,41.79225922,43.1361084,19.3478622,29.44676247,30.47072868,39.25886383
Cameroon,CMR,9.221458435,13.86188793,13.76755142,14.36843967,19.47418404,15.49829674,25.80885506,6.426581383,17.02205276,17.51643372,15.91278744,16.84192085,17.91220856,19.19569778,18.80194664,21.09845924,21.83436012,22.5990963,26.27653313,24.17687798,24.97561264,8.890152636,15.29657412,17.73291225,23.19706535
"Congo, Dem. Rep.",COD,,,,,,,,1.820218205,,,,,,,,1,1,1,1,1,1,,1.820218205,,1
"Congo, Rep.",COG,5.073888779,5.633776665,6.168187141,6.673789501,7.144731045,7.223665237,7.959977627,8.309947968,8.636836052,9.245166779,10.25961971,10.29454422,10.61779594,10.66073895,11.16415119,11.81266499,12.45199585,12.90127659,13.02866936,13.91883659,14.75402164,,7.206996679,10.59937,12.82268867
