Country Name,Country Code,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,90s,2000s,2010-14,2015-19
Aruba,ABW,91.66040039,100,100,100,100,100,100,100,100,100,93.35629272,100,100,100,100,100,100,100,100,100,100,99.75906982,99.16604004,98.67125854,100
Africa Eastern and Southern,AFE,19.81128305,19.90056899,21.52581195,22.47430904,23.78191837,23.48741496,24.76353792,26.76651776,25.93417948,26.1815568,27.55713714,29.08982683,31.8443844,31.79415999,32.00102678,33.87191046,38.88017322,40.2613576,43.06187695,44.27086048,45.80348523,,23.46270983,30.45730703,40.06923574
Afghanistan,AFG,1.613590956,4.074573994,9.409157753,14.73850632,20.06496811,25.39089394,30.71869087,36.05101013,42.40000153,46.74005127,42.70000076,43.2220192,69.09999847,68.29064941,89.5,71.5,97.69999695,97.69999695,96.61613464,97.69999695,97.69999695,,23.12014449,62.56253357,92.2432251
Africa Western and Central,AFW,34.15068684,35.26646112,35.76196703,39.87623729,37.5459599,37.84703616,39.83655929,40.78877885,41.74465763,41.81686069,41.79985796,45.91147398,44.16797335,47.04831616,47.59932279,46.76629436,50.95348668,48.86119122,51.25971164,51.29019299,52.111601,33.12205508,38.46352048,45.30538885,49.82617538
Angola,AGO,24.21274376,20,26.35211754,27.41277695,28.47055054,29.52778625,30.58689499,37.5,38.49000168,33.80218887,34.89563751,34.59999847,37.13132095,38.2780304,32,42,41.81312943,43.01325989,45.29000092,45.64279938,46.89060974,,29.63550606,35.38099747,43.55183792
Albania,ALB,100,100,100,100,100,100,100,100,100,100,100,100,99.90000153,100,99.94999695,99.98000336,99.88999939,99.88999939,100,100,100,100,100,99.96999969,99.95200043
Andorra,AND,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Arab World,ARB,80.73614121,81.58623137,81.54022203,82.50815948,82.50368475,83.21298163,85.45900327,83.76443999,83.38698965,84.3134838,87.11486281,87.33266124,87.03958839,88.99261981,88.01535618,88.68188567,89.19506235,90.32465949,88.9107494,89.99994555,90.27773508,77.66683304,82.90113372,87.69901769,89.42246049
United Arab Emirates,ARE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Argentina,ARG,95.78328705,95.51106262,96.22886658,96.44263458,96.65350342,96.86384583,97.07605743,97.29279327,97.51675415,97.75065613,98.81999969,99.09535217,99.22998047,99.34267426,100,99.6253891,99.84957886,100,99.98957825,100,100,93.65833359,96.71194611,99.29760132,99.89290924
Armenia,ARM,98.90000153,100,98,99.19013214,99.18923187,99.80000305,99.18823242,99.1931839,99.20537567,99.22750092,99.80000305,99.60579681,99.62896729,99.41999817,99.70999908,100,99.80000305,99.69999695,99.90000153,100,100,,99.18936615,99.63295288,99.88000031
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,97.68926239,97.78525543,100,97.95682526,98.03710175,92.19999695,100,100,100,98.48127747,98.59723663,94.55201721,100,100,100,100,100,100,100,100,100,96.54755554,98.21497192,98.62985077,100
Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,AZE,98.90822601,98.62180328,100,98.92746735,99.07479858,99.22159576,99.5,99.52345276,99.68386841,99.85422516,99.94379425,99.90000153,100,100,100,100,100,100,100,100,100,97,99.33154373,99.96875916,100
Burundi,BDI,2.463236809,2.797420025,3.124018431,3.445381641,3.763858795,3.207317114,2.660000086,4.725946426,4.800000191,5.399016857,5.300000191,6.122684002,6.5,6.900000095,7,8.427652359,9.348409653,9.300000191,10.88490868,11.35652828,11.73555565,2.985474658,3.638619637,6.364536858,9.863499832
Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Benin,BEN,21.53108406,21.89999962,23.41592789,24.34932327,25.27983284,26.20980453,27.89999962,28.07801628,29.02161407,29.97515106,34.20000076,36.90000153,38.40000153,34.69121933,34.09999847,29.62000084,37.09524536,34.5,39.24691772,40.32868958,41.41095734,18.30748081,25.76607533,35.65824432,36.1581707
Burkina Faso,BFA,9.075019836,9.521351814,9.96009922,11.39999962,10.82423878,11.25432777,11.68628979,12.12277317,12.56648827,12.63000011,13.10000038,14.80841446,15.11799431,15.40564251,19.20000076,16.07697487,16.64105606,17.21404266,14.39999962,18.37485504,18.95723915,6.942526204,11.10405884,15.52641048,16.54138565
Bangladesh,BGD,32,35.03264618,37.8510704,40.66426086,40.59999847,44.22999954,50.52510071,46.5,54.73551559,57.56884766,55.25999832,59.59999847,66.15557098,61.5,62.40000153,74.90373993,75.91999817,88,91.80000305,92.19999695,96.19999695,19.2091265,43.97074394,60.98311386,84.56474762
Bulgaria,BGR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.69999695,100,100,100,100
Bahrain,BHR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.98928833,100,100,100
"Bahamas, The",BHS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bosnia and Herzegovina,BIH,100,99.40000153,98.5,100,100,100,99.3872757,99.69999695,100,100,100,99.70578003,100,99.5,100,99.69999695,100,100,100,100,100,100,99.69872742,99.84115601,99.93999939
Belarus,BLR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,BLZ,79,80.19696045,81.02941895,81.85663605,82.68097687,83.504776,90.98853302,85.1606369,85.99806213,86.84542847,89.91722107,91.68173218,90.99591827,91.18610382,91.36425781,91.80000305,93.22231293,94.18901062,91.72000122,92.72000122,97.11333466,74.42567698,83.72614288,91.02904663,92.73026581
Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bolivia,BOL,69.96304321,69.25853729,63.99685669,72.30000305,75.94530487,68.28820801,76.21128082,80.15657043,84.67498779,86.76559448,87.88631439,88.33594513,90.38737488,89.5056839,90.03872681,91.52281952,91.80000305,91.80000305,92.80000305,95.08000183,97.55412292,66.25797237,74.75603867,89.23080902,92.6005661
Brazil,BRA,94.391716,96.01652527,96.65299225,96.98009491,96.7651062,97.09351349,97.59431458,98.12538147,98.52662659,98.85694122,98.59999847,99.32868958,99.5194931,99.57514954,99.65024567,99.71089935,99.69999695,99.80000305,99.69999695,99.80000305,100,91.56757525,97.1003212,99.33471527,99.74217987
Barbados,BRB,100,100,100,100,99.99674225,99.98045349,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.99763794,99.99771957,100,100
Brunei Darussalam,BRN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bhutan,BTN,31.14999962,40.04513168,43.97887802,41.09999847,51.83301163,59.8081131,59.68505478,71.80000305,67.55525208,71.50389862,73.28291321,81.76708984,91.5,87.45114136,91.48351288,95.53071594,99.58979034,97.69999695,99.97436523,100,100,,53.8459341,85.09693146,98.55897369
Botswana,BWA,26.40897942,24.79999924,27,33.08310699,35.29891205,37.51417923,39.73131943,41.95298004,44.5,43.36000061,52.0177803,53.24000168,56.01881409,57.99192047,59.9529953,62.13000107,64.17505646,67.40000153,68.22926331,69.95973969,71.99475861,16.44330911,35.3649477,55.84430237,66.37881241
