Country Name,Country Code,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_90s,_2000s,_2010_14,_2015_19
Aruba,ABW,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.98805542,100,100,100
Africa Eastern and Southern,AFE,53.56319587,53.15022415,55.3004286,56.25335406,57.02329382,58.11894773,58.68498313,60.85193154,59.00400758,61.35670093,63.2467473,66.16399799,66.94527715,67.11220628,66.28342637,67.08023452,69.13229242,70.92856716,71.86613607,73.33284204,73.94294905,,57.33070674,65.95033102,70.46801444
Afghanistan,AFG,72.13346863,73.59903717,75.0632782,76.53313446,78.01555634,74,81.04376984,82.59082031,89.90000153,85.72447205,82.80000305,86.56777954,95,92.25904846,98.69999695,92.5,99.5,99.5,99.62602234,99.5,99.5,,78.86035385,91.0653656,98.12520447
Africa Western and Central,AFW,71.54412771,72.29263132,72.28655482,73.2778409,73.24403271,73.9365619,74.5985086,76.18957257,75.61170253,75.44129376,74.26513966,79.3852167,78.69909733,78.8486137,79.52923505,78.2478757,81.57151742,,,,83.22006494,74.41121499,73.84228268,78.14546049,79.90969656
Angola,AGO,44.81760406,30,47.58462906,48.97309875,50.37413025,51.7946701,53.23956299,66.09999847,61.31000137,57.67609406,73.71856689,82.5,70.46347046,68.66222382,51,64,67.9733963,69.41117096,65.26999664,72.27718353,73.70891571,,51.18697891,69.26885223,67.78634949
Albania,ALB,100,100,100,100,100,100,100,100,100,100,100,100,99.90000153,100,100,100,100,100,100,100,100,100,100,99.98000031,100
Andorra,AND,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Arab World,ARB,94.8621022,94.3297878,94.3291079,94.51278596,94.61584454,94.56927303,95.33591933,95.09251052,94.38758704,95.06165726,96.87082794,96.99940188,96.98007919,97.23905702,96.85610096,97.02131295,97.26179897,97.48365836,97.58123691,98.27828695,97.54039702,,94.70965756,96.9890934,97.52525883
United Arab Emirates,ARE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Argentina,ARG,96.4752121,96.63759613,96.79866028,96.96533966,97.14458466,97.34333801,97.5664444,97.81031036,98.06926727,98.33760834,99.09142303,99.41663361,99.67237091,99.78914642,100,99.86068726,99.94213104,100,100,100,100,95.30442581,97.31483612,99.59391479,99.96056366
Armenia,ARM,99.09999847,100,99.28139496,99.25617981,99.24353027,99.90000153,99.28160095,99.33358002,99.40063477,99.47708893,99.69999695,99.63542938,99.7906723,99.41000366,99.66000366,100,99.80000305,99.80000305,99.90000153,100,99.95941162,,99.42740097,99.63922119,99.90000153
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,100,99.99794006,100,99.95860291,99.92212677,100,100,100,100,99.94515991,99.97457123,99.99261475,100,100,100,100,100,100,100,100,100,100,99.98238297,99.99343719,100
Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,AZE,99.70492554,99.56578064,100,99.55426788,99.56388855,99.59300995,99.80000305,99.72073364,99.81005859,99.90085602,99.9653244,99.90000153,100,100,100,100,100,100,100,100,100,99.55514526,99.72135239,99.97306519,100
Burundi,BDI,50.63116837,50.76617813,50.8998642,51.03916931,51.19103622,45.04950333,51.5581398,51.77463531,39.59999847,52.24717712,49,52.73455429,58.5,52.40000153,52.09999847,57.12614059,58.60169983,61.79999924,61.42993164,62.59404373,63.67844009,55.56990128,49.47568703,52.94691086,60.31036301
Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Benin,BEN,47.46887207,49.59999847,49.2144165,50.09214401,50.98243713,51.89223862,56.59999847,53.78130722,54.75130844,55.73070145,65.40000153,67,68.59999847,61.05483246,55.79999924,51.66999817,62.45282364,54.20000076,64.3030777,65.22438812,66.14538574,42.87096748,52.01134224,63.57096634,59.57005768
Burkina Faso,BFA,40.3424263,41.44242859,42.54110718,52.40000153,44.76226807,45.89863968,47.0593605,48.24084854,49.43741608,44.40999985,48.5,53.06074524,54.26076889,55.4487114,58.40000153,58.00947571,59.72346115,61.46657562,62.29999924,64.43108368,65.75390625,35.4414784,45.65344963,53.93404541,61.18611908
Bangladesh,BGD,81.19999695,77.6078949,78.6517334,79.70118713,76.59999847,82.61000061,77.7991333,82.09999847,85.21899414,86.37011719,90.09999847,90.19999695,90.61813354,88,90.69999695,93.44181824,94.01000214,99.5,96.5,97.80000305,97.80000305,71.35973505,80.78590546,89.92362518,96.25036469
Bulgaria,BGR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.80000305,100,100,100,100
Bahrain,BHR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Bahamas, The",BHS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bosnia and Herzegovina,BIH,100,100,99.30000305,100,100,100,99.71469116,100,100,100,100,99.76393127,100,100,100,100,100,100,100,100,100,100,99.90146942,99.95278625,100
Belarus,BLR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,BLZ,95,95.61405945,95.69219208,95.77594757,95.87226868,95.98809814,98.06713867,96.28922272,96.46524811,96.65067291,96.99964142,96.31336212,97.20643616,97.3738327,97.52978516,96.90000153,97.81497955,97.96857452,97.90000153,98.48000336,98.33164978,94.86908722,96.14148483,97.08461151,97.8127121
Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
